route,route_label,replicate,aggregation,lead_min,metric,x_index,x_label,bin_low_mm,bin_high_mm,threshold_mm,estimate,ci_low,ci_high,n_common_pairs,n_observed_events
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,180,conditional_mean_error,1,5–10,5,10,,-2.604101727974986,-2.604101727974986,-2.604101727974986,44623,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,180,conditional_mean_error,2,10–20,10,20,,-8.16731551083094,-8.16731551083094,-8.16731551083094,24611,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,180,conditional_mean_error,3,≥20,20,,,-24.62412355600674,-24.62412355600674,-24.62412355600674,9263,
pysteps_patch_cnn,pySTEPS + CNN,0|1|2,mean_of_replicate_metrics,60,frequency_bias,0,1,,,1,1.163633734037756,1.163633734037756,1.163633734037756,,235086
pysteps_patch_cnn,pySTEPS + CNN,0|1|2,mean_of_replicate_metrics,60,frequency_bias,1,5,,,5,0.8578459474035101,0.8578459474035101,0.8578459474035101,,78497
pysteps_patch_cnn,pySTEPS + CNN,0|1|2,mean_of_replicate_metrics,60,frequency_bias,2,10,,,10,0.4140245222491193,0.4140245222491193,0.4140245222491193,,33874
pysteps_patch_cnn,pySTEPS + CNN,0|1|2,mean_of_replicate_metrics,60,frequency_bias,3,20,,,20,0.0172730216992335,0.0172730216992335,0.0172730216992335,,9263
pysteps_patch_cnn,pySTEPS + CNN,0|1|2,mean_of_replicate_metrics,120,frequency_bias,0,1,,,1,1.102902767497852,1.102902767497852,1.102902767497852,,235086
pysteps_patch_cnn,pySTEPS + CNN,0|1|2,mean_of_replicate_metrics,120,frequency_bias,1,5,,,5,0.6780174189247147,0.6780174189247147,0.6780174189247147,,78497
pysteps_patch_cnn,pySTEPS + CNN,0|1|2,mean_of_replicate_metrics,120,frequency_bias,2,10,,,10,0.231721477632796,0.231721477632796,0.231721477632796,,33874
pysteps_patch_cnn,pySTEPS + CNN,0|1|2,mean_of_replicate_metrics,120,frequency_bias,3,20,,,20,0.0026989096405052,0.0026989096405052,0.0026989096405052,,9263
