metric_group,metric,route_key,route_label,lead_min,threshold_mm,point_estimate,ci_low,ci_high,bootstrap_valid_reps,bootstrap_reps
categorical,far,exprecast,exPreCast + Patch MLP,60,10,0.3825811513095715,0.3568866968154907,0.4129073977470398,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,60,10,0.7888252543740529,0.7389814779162407,0.8343660861253739,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,60,20,0.206890852637906,0.1684533260762691,0.2402641531080007,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,60,20,0.2449170535103818,0.2011534791439771,0.2826277643442154,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,60,20,0.3556956924687655,0.3071733079850673,0.4259919121861458,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,60,20,0.4010579725790781,0.3536537319421768,0.4434020772576332,50000,50000
continuous,rmse,exprecast,exPreCast + Patch MLP,60,,1.274775023635672,1.106744983792305,1.446110486984253,50000,50000
continuous,mean_bias,exprecast,exPreCast + Patch MLP,60,,-0.0386065821886965,-0.0524425618350505,-0.0264846983365714,50000,50000
continuous,correlation,exprecast,exPreCast + Patch MLP,60,,0.7756636855868541,0.7549270629882813,0.7912597194314003,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,90,1,0.5533767168864178,0.5171024203300476,0.5845046818256379,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,90,1,0.6406180433259885,0.601547172665596,0.6733150199055672,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,90,1,0.1974794739892415,0.1785695921629667,0.2189476728439331,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,90,1,0.7982667335925292,0.7595933347940445,0.8313694015145302,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,90,5,0.3866988872622279,0.3477897383272648,0.4193988732993603,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,90,5,0.4996411752466124,0.4510005496442318,0.5392857879400254,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,90,5,0.3682268769445064,0.3367112450301647,0.4031688466668129,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,90,5,0.7914060409951973,0.7346452981233597,0.8413072139024734,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,90,10,0.249418209989186,0.2183062672615051,0.2745307475328445,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,90,10,0.3175887111058629,0.2764076337218284,0.3510816566646099,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,90,10,0.4552987109632049,0.426084066927433,0.4905501410365104,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,90,10,0.586634783806656,0.5298431172966958,0.6359806343913078,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,90,20,0.0860026614128287,0.057197587378323,0.1129952425137162,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,90,20,0.0946777501889236,0.0625861205160617,0.1257964540272951,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,90,20,0.4316757508192017,0.3808902718126774,0.5197219759225845,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,90,20,0.1762567922559286,0.1326371401548385,0.2213824570178985,50000,50000
continuous,rmse,exprecast,exPreCast + Patch MLP,90,,1.482351846317932,1.285470339655876,1.683000081777573,50000,50000
continuous,mean_bias,exprecast,exPreCast + Patch MLP,90,,-0.0699229412335366,-0.0893447553738951,-0.0531886076554656,50000,50000
continuous,correlation,exprecast,exPreCast + Patch MLP,90,,0.6759406362255665,0.6469352707266808,0.6978213131427765,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,120,1,0.4892735081249357,0.4494796261191368,0.523348830640316,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,120,1,0.5733306109253635,0.5283724591135979,0.6110674783587455,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,120,1,0.2304779367522337,0.2084417577832937,0.2557862140238285,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,120,1,0.7451032104563153,0.6994536086916924,0.7846309512853623,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,120,5,0.3122101692924028,0.2737476870417595,0.344580602645874,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,120,5,0.3968516843531175,0.3480098277330398,0.437346838414669,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,120,5,0.4056334606960956,0.3701081648468971,0.4452794000506401,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,120,5,0.6678004679584357,0.6072667449712753,0.7213403418660164,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,120,10,0.1434313204586293,0.1167344160377979,0.16647819429636,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,120,10,0.168782350278483,0.1356843430548906,0.198122775554657,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,120,10,0.5046894907119539,0.4735882289707661,0.5451959908008576,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,120,10,0.3420420775029029,0.2900219514966011,0.3889369435608387,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,120,20,0.0254639706691175,0.0129399477737024,0.0396995303221046,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,120,20,0.0263773435532045,0.0132982390001416,0.0416056298650801,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,120,20,0.4872600488256397,0.4184318214654922,0.5919922590255737,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,120,20,0.0541581201194717,0.0322010523639619,0.0803711244836449,50000,50000
