route,route_label,lead_min,gauge_bin,amount_bias_mm_mean,amount_bias_mm_sd,n_common_pairs
direct_r2p,Direct R2P,80,"[10,20)",-3.787616225519928,0.6544719116488371,24611
direct_r2p,Direct R2P,80,>=20,-15.3554398674196,1.439989309384321,9263
direct_r2p,Direct R2P,90,"[1,5)",0.5900249632640341,0.1135769329348233,156589
direct_r2p,Direct R2P,90,"[5,10)",-0.8217004682416489,0.2036909478039721,44623
direct_r2p,Direct R2P,90,"[10,20)",-4.459082606347917,0.4892673757949896,24611
direct_r2p,Direct R2P,90,>=20,-17.03164597584424,1.145674177403343,9263
direct_r2p,Direct R2P,100,"[1,5)",0.5758583689291601,0.1250196087876353,156589
direct_r2p,Direct R2P,100,"[5,10)",-1.080548039654572,0.1902443363538904,44623
direct_r2p,Direct R2P,100,"[10,20)",-5.082872486819428,0.3828593681954446,24611
direct_r2p,Direct R2P,100,>=20,-18.48263991836114,0.9153731718505844,9263
direct_r2p,Direct R2P,110,"[1,5)",0.5619854842986368,0.1484850259624988,156589
direct_r2p,Direct R2P,110,"[5,10)",-1.313669137835511,0.200063359610103,44623
direct_r2p,Direct R2P,110,"[10,20)",-5.630931973809315,0.3270689357970789,24611
direct_r2p,Direct R2P,110,>=20,-19.72997173234864,0.7112121896938215,9263
direct_r2p,Direct R2P,120,"[1,5)",0.5449583205531247,0.1608232658202479,156589
direct_r2p,Direct R2P,120,"[5,10)",-1.538275618733006,0.212906150295032,44623
direct_r2p,Direct R2P,120,"[10,20)",-6.11540294652038,0.3199741955490986,24611
direct_r2p,Direct R2P,120,>=20,-20.81847416862543,0.5583259242560403,9263
direct_r2p,Direct R2P,130,"[1,5)",0.5205721596276252,0.1806694091376574,156589
direct_r2p,Direct R2P,130,"[5,10)",-1.749817289452483,0.2423927973964685,44623
direct_r2p,Direct R2P,130,"[10,20)",-6.552105756795577,0.3432449134862974,24611
direct_r2p,Direct R2P,130,>=20,-21.74554576679537,0.4773035428330923,9263
direct_r2p,Direct R2P,140,"[1,5)",0.4990311822113565,0.1866002121597591,156589
direct_r2p,Direct R2P,140,"[5,10)",-1.938704626071634,0.2650467452876608,44623
direct_r2p,Direct R2P,140,"[10,20)",-6.940521758611449,0.3601609780374041,24611
direct_r2p,Direct R2P,140,>=20,-22.5318794057962,0.4142410575768419,9263
direct_r2p,Direct R2P,150,"[1,5)",0.4779887374109784,0.203428242429901,156589
direct_r2p,Direct R2P,150,"[5,10)",-2.11616261529376,0.2914016532259225,44623
direct_r2p,Direct R2P,150,"[10,20)",-7.284718776917194,0.3877664719527313,24611
direct_r2p,Direct R2P,150,>=20,-23.18532583149981,0.4145703086248358,9263
direct_r2p,Direct R2P,160,"[1,5)",0.4608841704999022,0.2059286520974294,156589
direct_r2p,Direct R2P,160,"[5,10)",-2.281893696682406,0.3032911925695206,44623
direct_r2p,Direct R2P,160,"[10,20)",-7.599357971672589,0.3919553404450427,24611
direct_r2p,Direct R2P,160,>=20,-23.72264255133448,0.4185507583999237,9263
direct_r2p,Direct R2P,170,"[1,5)",0.4358970884908412,0.2128490984062545,156589
direct_r2p,Direct R2P,170,"[5,10)",-2.45166915441329,0.3187018968338477,44623
direct_r2p,Direct R2P,170,"[10,20)",-7.896387671235339,0.3974703674721287,24611
direct_r2p,Direct R2P,170,>=20,-24.20591884690803,0.4504243811371448,9263
direct_r2p,Direct R2P,180,"[1,5)",0.4115624436674563,0.2074622431868579,156589
direct_r2p,Direct R2P,180,"[5,10)",-2.604101727974986,0.3198412090184979,44623
direct_r2p,Direct R2P,180,"[10,20)",-8.16731551083094,0.3879226904857041,24611
direct_r2p,Direct R2P,180,>=20,-24.62412355600674,0.4509158776914849,9263
