model,lead_min,threshold_mm_h,csi
pySTEPS,110,80,0.0038853782906775
pySTEPS,120,1,0.2920625497998354
pySTEPS,120,4,0.1791725219267149
pySTEPS,120,8,0.099693321418862
pySTEPS,120,10,0.0762994916885859
pySTEPS,120,20,0.0305383509823181
pySTEPS,120,40,0.0114899110172414
pySTEPS,120,80,0.0029624933709639
pySTEPS,130,1,0.2776046817071499
pySTEPS,130,4,0.1673396890034671
pySTEPS,130,8,0.0918916848229463
pySTEPS,130,10,0.0698322303814045
pySTEPS,130,20,0.0269699264918236
pySTEPS,130,40,0.0098187404195645
pySTEPS,130,80,0.0021784631156294
pySTEPS,140,1,0.2643167373592194
pySTEPS,140,4,0.1566982746026479
pySTEPS,140,8,0.0850097397295099
pySTEPS,140,10,0.0641826311141863
pySTEPS,140,20,0.0241389015930138
pySTEPS,140,40,0.008540032892387
pySTEPS,140,80,0.0018167851438186
pySTEPS,150,1,0.2520997552505044
pySTEPS,150,4,0.1470226280712022
pySTEPS,150,8,0.0790101817368558
pySTEPS,150,10,0.0593349810539274
pySTEPS,150,20,0.0216623370858784
pySTEPS,150,40,0.0073499337200076
pySTEPS,150,80,0.0015644957251376
pySTEPS,160,1,0.2407766140221109
pySTEPS,160,4,0.138237563087902
pySTEPS,160,8,0.0736121151504439
pySTEPS,160,10,0.0549942831366533
pySTEPS,160,20,0.0195961530092693
pySTEPS,160,40,0.0064356801801431
pySTEPS,160,80,0.001454261045968
pySTEPS,170,1,0.2303035294715715
pySTEPS,170,4,0.1301691287655477
pySTEPS,170,8,0.0686973494169692
pySTEPS,170,10,0.0510835919134507
pySTEPS,170,20,0.0178642485160834
pySTEPS,170,40,0.0056224919417254
pySTEPS,170,80,0.0012722257222021
pySTEPS,180,1,0.2205809371525839
pySTEPS,180,4,0.122655059757652
pySTEPS,180,8,0.0641011770646542
pySTEPS,180,10,0.0474318826593134
pySTEPS,180,20,0.0162130298936928
pySTEPS,180,40,0.0050390678095253
pySTEPS,180,80,0.0009864531189686
