route,route_label,member,replicate_id,upstream_seed,downstream_seed,lead_min,threshold_mm,csi,pod,far,frequency_bias,hit,miss,false_alarm,correct_negative
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,180,5,0.1654315669939599,0.2152821126922048,0.5832860700811284,0.5166184694956495,16899,61598,23654,4306397
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,180,10,0.0314648770559436,0.033772214677924,0.6846747519294377,0.1071027927023676,1144,32730,2484,4372190
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,180,20,0,0,1,0.0001079563856202,0,9263,1,4399284
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,60,1,0.597802288463125,0.8013875773121326,0.2982250284032706,1.141943799290472,188395,46691,80060,4093508
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,60,5,0.4773312356979405,0.5952456781787839,0.2932875552060016,0.8422742270405238,46725,31772,19391,4310766
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,60,10,0.2982386438882267,0.3324083367774694,0.2563238887788125,0.4469799846489933,11260,22614,3881,4370899
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,60,20,0.0237068965517241,0.023750404836446,0.0717299578059071,0.0255856633919896,220,9043,17,4399374
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,70,1,0.5702847949720338,0.7750440264413874,0.3165947136068174,1.134091353802438,182202,52884,84407,4089151
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,70,5,0.4353188535557277,0.5512567359262137,0.3257502570974477,0.8175853854287425,43272,35225,20906,4309241
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,70,10,0.2497181658495661,0.2811891125937297,0.3094823836450631,0.4072149731357383,9525,24349,4269,4370501
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,70,20,0.0176457929847213,0.0177048472417143,0.1589743589743589,0.0210514951959408,164,9099,31,4399350
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,80,1,0.5432035914287037,0.7488961486434752,0.3358269766178501,1.127561828437253,176055,59031,89019,4084530
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,80,5,0.3968881672659899,0.5075862771825674,0.354627619942337,0.786501394957769,39844,38653,21894,4308244
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,80,10,0.2131737463819134,0.2413355375804451,0.3537549407114624,0.3734427584578143,8175,25699,4475,4370286
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,80,20,0.0108637194794019,0.0109035949476411,0.2518518518518518,0.0145741120587282,101,9162,34,4399338
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,90,1,0.5191445873182935,0.7238755178955787,0.352663932867218,1.118237581140519,170173,64913,92709,4080831
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,90,5,0.3635413173416448,0.4695466068766959,0.3830987329907778,0.761137368307069,36858,41639,22889,4307240
