route,route_label,lead_min,threshold_mm,frequency_bias_mean,frequency_bias_sd,n_observed_events
exprecast_patch_cnn,exPreCast + CNN,160,5,0.7259428173475845,0.0639586665451522,78497
exprecast_patch_cnn,exPreCast + CNN,160,10,0.3392474070575269,0.0707441380746861,33874
exprecast_patch_cnn,exPreCast + CNN,160,20,0.0099319874770592,0.0051695217073573,9263
exprecast_patch_cnn,exPreCast + CNN,170,1,1.067086087644522,0.0484052862571542,235086
exprecast_patch_cnn,exPreCast + CNN,170,5,0.7275776993600603,0.055055966025917,78497
exprecast_patch_cnn,exPreCast + CNN,170,10,0.3398279900021649,0.0621159745189412,33874
exprecast_patch_cnn,exPreCast + CNN,170,20,0.0098600165533124,0.0042875586767732,9263
exprecast_patch_cnn,exPreCast + CNN,180,1,1.067215118438926,0.0476795700949454,235086
exprecast_patch_cnn,exPreCast + CNN,180,5,0.7047912659082513,0.0601966804959386,78497
exprecast_patch_cnn,exPreCast + CNN,180,10,0.3150006888272225,0.0666885790646604,33874
exprecast_patch_cnn,exPreCast + CNN,180,20,0.0084925690021231,0.0043589966976554,9263
direct_r2p,Direct R2P,60,1,1.088211689906389,0.0343542305001973,235086
direct_r2p,Direct R2P,60,5,1.032162587954529,0.0217585931888508,78497
direct_r2p,Direct R2P,60,10,0.9451595127039422,0.0645128773607234,33874
direct_r2p,Direct R2P,60,20,0.7598330274569074,0.1738111330919995,9263
direct_r2p,Direct R2P,70,1,1.112052610534017,0.0230114760908508,235086
direct_r2p,Direct R2P,70,5,1.016794697037254,0.0217257426570485,78497
direct_r2p,Direct R2P,70,10,0.9099506012477612,0.0583733304000177,33874
direct_r2p,Direct R2P,70,20,0.6808449386447876,0.1739258231648713,9263
direct_r2p,Direct R2P,80,1,1.132619551993738,0.0184546056023892,235086
direct_r2p,Direct R2P,80,5,0.9988704451550166,0.0332397009387094,78497
direct_r2p,Direct R2P,80,10,0.8655212453996182,0.0515056746217292,33874
direct_r2p,Direct R2P,80,20,0.5821368167260427,0.1722836561710543,9263
direct_r2p,Direct R2P,90,1,1.149922439731276,0.0217403429188494,235086
direct_r2p,Direct R2P,90,5,0.9811967336331324,0.0485110618276004,78497
direct_r2p,Direct R2P,90,10,0.8205408277735136,0.0443926500928609,33874
direct_r2p,Direct R2P,90,20,0.4809097124761596,0.1489390621739574,9263
direct_r2p,Direct R2P,100,1,1.166408605077858,0.0214353654713572,235086
direct_r2p,Direct R2P,100,5,0.9618159505034164,0.0566462047286389,78497
direct_r2p,Direct R2P,100,10,0.7707287792013541,0.0484216461271026,33874
direct_r2p,Direct R2P,100,20,0.3887869300802475,0.1288227465665706,9263
direct_r2p,Direct R2P,110,1,1.182517603486951,0.0271181491108502,235086
direct_r2p,Direct R2P,110,5,0.9484438895753978,0.0703483365476114,78497
direct_r2p,Direct R2P,110,10,0.726240381019858,0.0557069212810911,33874
direct_r2p,Direct R2P,110,20,0.3088992047212925,0.1096994302999691,9263
direct_r2p,Direct R2P,120,1,1.200224598657513,0.0340393750173747,235086
direct_r2p,Direct R2P,120,5,0.9340314491848946,0.0788465555529197,78497
direct_r2p,Direct R2P,120,10,0.6846548975615515,0.0603006088364066,33874
direct_r2p,Direct R2P,120,20,0.2483356723883551,0.0916072326575219,9263
direct_r2p,Direct R2P,130,1,1.21523045467049,0.0457678979276437,235086
direct_r2p,Direct R2P,130,5,0.9192495679240396,0.0867618705394322,78497
direct_r2p,Direct R2P,130,10,0.6440140914368936,0.0676669016976772,33874
direct_r2p,Direct R2P,130,20,0.201734499262298,0.0775040639231389,9263
direct_r2p,Direct R2P,140,1,1.237954053693825,0.0561710461514974,235086
direct_r2p,Direct R2P,140,5,0.9051853361699598,0.090242976890595,78497
