metric_group,metric,contrast,left_route,right_route,lead_min,threshold_mm,left_point,right_point,delta,ci_low,ci_high,ci_excludes_zero,bootstrap_valid_reps,bootstrap_reps,member_count,member_ids
categorical,frequency_bias,r2p_minus_exprecast,r2p,exprecast,90,1,1.149922439731276,0.7982667335925292,0.3516557061387465,0.3129642784595489,0.3970530703663826,True,50000,50000,,
categorical,csi,r2p_minus_exprecast,r2p,exprecast,90,5,0.4401250790484609,0.3866988872622279,0.053426191786233,0.0445653617382049,0.0633874543011188,True,50000,50000,,
categorical,pod,r2p_minus_exprecast,r2p,exprecast,90,5,0.6053734537625641,0.4996411752466124,0.1057322785159517,0.086287122964859,0.1260988518595695,True,50000,50000,,
categorical,far,r2p_minus_exprecast,r2p,exprecast,90,5,0.3823667215091884,0.3682268769445064,0.0141398445646819,-0.0014357276260852,0.0297446258366107,False,50000,50000,,
categorical,frequency_bias,r2p_minus_exprecast,r2p,exprecast,90,5,0.9811967336331324,0.7914060409951973,0.189790692637935,0.1429928168654441,0.2395208641886711,True,50000,50000,,
categorical,csi,r2p_minus_exprecast,r2p,exprecast,90,10,0.3295575941673169,0.249418209989186,0.0801393841781309,0.066257382556796,0.0932964459061622,True,50000,50000,,
categorical,pod,r2p_minus_exprecast,r2p,exprecast,90,10,0.4513392769282242,0.3175887111058629,0.1337505658223613,0.1083928249776363,0.1595766365528106,True,50000,50000,,
categorical,far,r2p_minus_exprecast,r2p,exprecast,90,10,0.4497614091709179,0.4552987109632049,-0.005537301792287,-0.0284693874418735,0.0174704849720001,False,50000,50000,,
categorical,frequency_bias,r2p_minus_exprecast,r2p,exprecast,90,10,0.8205408277735136,0.586634783806656,0.2339060439668575,0.1728600218892097,0.3008369728922844,True,50000,50000,,
categorical,csi,r2p_minus_exprecast,r2p,exprecast,90,20,0.1788963405115143,0.0860026614128287,0.0928936790986855,0.0749776171520352,0.1102847324684262,True,50000,50000,,
categorical,pod,r2p_minus_exprecast,r2p,exprecast,90,20,0.2262405987980855,0.0946777501889236,0.1315628486091619,0.1071727385744452,0.15492281652987,True,50000,50000,,
categorical,far,r2p_minus_exprecast,r2p,exprecast,90,20,0.520612520921429,0.4316757508192017,0.0889367701022272,0.0357416942715644,0.1286023318767547,True,50000,50000,,
categorical,frequency_bias,r2p_minus_exprecast,r2p,exprecast,90,20,0.4809097124761596,0.1762567922559286,0.304652920220231,0.2499148458242416,0.36786665096879,True,50000,50000,,
continuous,rmse,r2p_minus_exprecast,r2p,exprecast,90,,1.405588270663284,1.482351846317932,-0.0767635756546483,-0.1032244086265564,-0.0505864053964614,True,50000,50000,,
continuous,mean_bias,r2p_minus_exprecast,r2p,exprecast,90,,0.0471666452265227,-0.0699229412335366,0.1170895864600593,0.1013205595314502,0.133977161347866,True,50000,50000,,
continuous,correlation,r2p_minus_exprecast,r2p,exprecast,90,,0.716531440320022,0.6759406362255665,0.0405908040944554,0.0319993317127227,0.0506566777825355,True,50000,50000,,
categorical,csi,r2p_minus_exprecast,r2p,exprecast,120,1,0.4989350746461263,0.4892735081249357,0.0096615665211906,-1.998469233512869e-05,0.0203771285712719,False,50000,50000,,
categorical,pod,r2p_minus_exprecast,r2p,exprecast,120,1,0.732385878642993,0.5733306109253635,0.1590552677176294,0.1425339430570602,0.1772094264626503,True,50000,50000,,
categorical,far,r2p_minus_exprecast,r2p,exprecast,120,1,0.3896952719824472,0.2304779367522337,0.1592173352302134,0.1446599844843149,0.1747496176511049,True,50000,50000,,
categorical,frequency_bias,r2p_minus_exprecast,r2p,exprecast,120,1,1.200224598657513,0.7451032104563153,0.4551213882011973,0.4060399532318115,0.5127947628498077,True,50000,50000,,
categorical,csi,r2p_minus_exprecast,r2p,exprecast,120,5,0.3695484087974052,0.3122101692924028,0.0573382395050023,0.0470652073621749,0.0680764645338058,True,50000,50000,,
categorical,pod,r2p_minus_exprecast,r2p,exprecast,120,5,0.5219477602116429,0.3968516843531175,0.1250960758585254,0.1036947399377822,0.1470253616571426,True,50000,50000,,
categorical,far,r2p_minus_exprecast,r2p,exprecast,120,5,0.4400084154410145,0.4056334606960956,0.0343749547449188,0.0161957189440727,0.0532387226819992,True,50000,50000,,
categorical,frequency_bias,r2p_minus_exprecast,r2p,exprecast,120,5,0.9340314491848946,0.6678004679584357,0.2662309812264588,0.2113540366292,0.3246314331889152,True,50000,50000,,
categorical,csi,r2p_minus_exprecast,r2p,exprecast,120,10,0.2421491462507263,0.1434313204586293,0.098717825792097,0.0809873856604099,0.1159209921956062,True,50000,50000,,
categorical,pod,r2p_minus_exprecast,r2p,exprecast,120,10,0.3286197870539843,0.168782350278483,0.1598374367755013,0.1311512280255556,0.1878113199025392,True,50000,50000,,
categorical,far,r2p_minus_exprecast,r2p,exprecast,120,10,0.5196344921453827,0.5046894907119539,0.0149450014334288,-0.0118368528783321,0.0404018707573413,False,50000,50000,,
categorical,frequency_bias,r2p_minus_exprecast,r2p,exprecast,120,10,0.6846548975615515,0.3420420775029029,0.3426128200586485,0.2774328798055648,0.4125634796917439,True,50000,50000,,
categorical,csi,r2p_minus_exprecast,r2p,exprecast,120,20,0.0812327749385375,0.0254639706691175,0.05576880426942,0.043250386416912,0.0680114539340138,True,50000,50000,,
categorical,pod,r2p_minus_exprecast,r2p,exprecast,120,20,0.094713735650797,0.0263773435532045,0.0683363920975925,0.0537380344234406,0.0826080929487943,True,50000,50000,,
categorical,far,r2p_minus_exprecast,r2p,exprecast,120,20,0.6186731312121528,0.4872600488256397,0.1314130823865131,0.0310550972819328,0.2127043403685093,True,50000,50000,,
categorical,frequency_bias,r2p_minus_exprecast,r2p,exprecast,120,20,0.2483356723883551,0.0541581201194717,0.1941775522688833,0.1585292756557464,0.2363673716783523,True,50000,50000,,
continuous,rmse,r2p_minus_exprecast,r2p,exprecast,120,,1.557089100280621,1.616564134690846,-0.0594750344102241,-0.0859221488237381,-0.0341732531785964,True,50000,50000,,
continuous,mean_bias,r2p_minus_exprecast,r2p,exprecast,120,,0.0396231668435338,-0.0999146691580116,0.1395378360015454,0.1204203268513083,0.1597863491624593,True,50000,50000,,
continuous,correlation,r2p_minus_exprecast,r2p,exprecast,120,,0.6334814774186652,0.5968786526217116,0.0366028247969536,0.0261489287018775,0.0483897969126701,True,50000,50000,,
categorical,csi,r2p_minus_exprecast,r2p,exprecast,150,1,0.4552714269590197,0.4411219665705855,0.0141494603884342,0.0035798035562038,0.0260660760104656,True,50000,50000,,
categorical,pod,r2p_minus_exprecast,r2p,exprecast,150,1,0.7065811376829472,0.5221167289133906,0.1844644087695566,0.1667385593056679,0.2040823198854923,True,50000,50000,,
categorical,far,r2p_minus_exprecast,r2p,exprecast,150,1,0.4380909912283568,0.2600910728197856,0.1779999184085712,0.161287796869874,0.1957210138440132,True,50000,50000,,
categorical,frequency_bias,r2p_minus_exprecast,r2p,exprecast,150,1,1.258465696241659,0.705693519251111,0.5527721769905479,0.4925418451428413,0.6232485055923462,True,50000,50000,,
categorical,csi,r2p_minus_exprecast,r2p,exprecast,150,5,0.3140845615175318,0.2452693574321225,0.0688152040854092,0.0563973292708396,0.082063876837492,True,50000,50000,,
categorical,pod,r2p_minus_exprecast,r2p,exprecast,150,5,0.4527179382651566,0.3067760551358651,0.1459418831292915,0.121583305299282,0.1709408849477768,True,50000,50000,,
