Route,Lead (min),RN60 threshold (mm),POD,FAR,Frequency bias,Hit,Miss,False alarm,Correct negative,Finite pairs
Direct R2P,120,10,0.3286 ± 0.0258,0.5196 ± 0.0119,0.6847 ± 0.0603,11131.7 ± 872.5,22742.3 ± 872.5,12060.3 ± 1226.6,4362662.7 ± 1226.6,4408597
Direct R2P,120,20,0.0947 ± 0.0348,0.6187 ± 0.0059,0.2483 ± 0.0916,877.3 ± 321.9,8385.7 ± 321.9,1423.0 ± 527.2,4397911.0 ± 527.2,4408597
Direct R2P,150,1,0.7066 ± 0.0237,0.4381 ± 0.0121,1.2585 ± 0.0700,166107.3 ± 5578.1,68978.7 ± 5578.1,129740.3 ± 10869.0,4043745.7 ± 10869.0,4408572
Direct R2P,150,5,0.4527 ± 0.0343,0.4916 ± 0.0175,0.8927 ± 0.0964,35537.0 ± 2691.4,42960.0 ± 2691.4,34541.0 ± 4885.7,4295534.0 ± 4885.7,4408572
Direct R2P,150,10,0.2344 ± 0.0312,0.5896 ± 0.0099,0.5716 ± 0.0774,7941.0 ± 1056.7,25933.0 ± 1056.7,11420.3 ± 1596.7,4363277.7 ± 1596.7,4408572
Direct R2P,150,20,0.0352 ± 0.0133,0.7288 ± 0.0057,0.1302 ± 0.0506,325.7 ± 122.8,8937.3 ± 122.8,880.3 ± 346.0,4398428.7 ± 346.0,4408572
Direct R2P,180,1,0.6914 ± 0.0252,0.4849 ± 0.0122,1.3435 ± 0.0817,162534.0 ± 5930.0,72552.0 ± 5930.0,153312.0 ± 13272.1,4020150.0 ± 13272.1,4408548
Direct R2P,180,5,0.3917 ± 0.0380,0.5387 ± 0.0150,0.8513 ± 0.1075,30744.7 ± 2983.0,47752.3 ± 2983.0,36082.3 ± 5471.6,4293968.7 ± 5471.6,4408548
Direct R2P,180,10,0.1658 ± 0.0278,0.6470 ± 0.0095,0.4703 ± 0.0813,5617.0 ± 940.9,28257.0 ± 940.9,10313.3 ± 1832.5,4364360.7 ± 1832.5,4408548
Direct R2P,180,20,0.0138 ± 0.0074,0.7958 ± 0.0181,0.0666 ± 0.0314,127.7 ± 68.3,9135.3 ± 68.3,489.0 ± 223.3,4398796.0 ± 223.3,4408548
