contrast,left_route,right_route,lead_min,threshold_mm,left_csi_mean,right_csi_mean,delta_csi,ci_low_pointwise_95,ci_high_pointwise_95,bootstrap_fraction_delta_gt_zero,bootstrap_valid_resamples
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,100,1,0.5275526756433327,0.4946273745278633,0.0329253011154694,0.0256606637927148,0.0399476210090583,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,100,5,0.3802257816200711,0.3327731812186033,0.0474526004014677,0.0398354697185298,0.0557044979466076,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,100,10,0.2226838031119222,0.1407548776351266,0.0819289254767956,0.0684198755647627,0.0948558810231051,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,100,20,0.0219146684670125,0.0023309327347727,0.0195837357322398,0.0102386603712016,0.0287039606132543,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,110,1,0.5133612824641299,0.4743239602170148,0.039037322247115,0.0320496944587102,0.0459306202524952,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,110,5,0.3585663245000923,0.3061079076216505,0.0524584168784417,0.0441980019161339,0.0612703007455163,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,110,10,0.1977692991866367,0.1196676158214678,0.0781016833651688,0.0636647285260808,0.0911600854436688,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,110,20,0.0156481954555347,0.001397897231889,0.0142502982236456,0.006823509301179,0.021500251798813,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,120,1,0.499098861782276,0.4559409231063656,0.0431579386759104,0.0361430049774422,0.0501110907763189,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,120,5,0.3403237408600931,0.280038702814282,0.060285038045811,0.0510657890383275,0.0699958989750649,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,120,10,0.1792267593768245,0.1009607745542375,0.078265984822587,0.0628495215055841,0.0918103415450637,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,120,20,0.011900307986949,0.0009689932600985,0.0109313147268504,0.0048889720116559,0.0170767560426258,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,130,1,0.4859645348014476,0.4391632416075617,0.0468012931938858,0.0397916888277703,0.0538010888075255,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,130,5,0.3212927606475688,0.2569702469288055,0.0643225137187633,0.0537931972824325,0.0749905757124169,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,130,10,0.1577875711633508,0.0860998673266819,0.0716877038366689,0.0540222031434516,0.0873222523663555,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,130,20,0.0084944024860599,0.0007534761256291,0.0077409263604308,0.0027855794072243,0.0133126585923495,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,140,1,0.4740121862575197,0.4229424391532029,0.0510697471043168,0.0439011750006898,0.0582389157838663,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,140,5,0.3056054942538785,0.2372377867642584,0.06836770748962,0.0566174284168202,0.0799858176872032,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,140,10,0.1440557445366514,0.0726757221335887,0.0713800224030627,0.0514627502273183,0.0891882670239811,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,140,20,0.0060343634495314,0.0005747442362986,0.0054596192132327,0.0011884240804419,0.0109077533331376,0.99996,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,150,1,0.4625767431566974,0.4085369781585801,0.0540397649981172,0.0467911050085962,0.0613057703096524,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,150,5,0.2923099561356184,0.2191148352558688,0.0731951208797495,0.0601026125603709,0.0858399959448695,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,150,10,0.1331326230456867,0.0621926821302684,0.0709399409154182,0.0494574733361025,0.0908273294441306,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,150,20,0.0048590016186129,0.0002875385580479,0.0045714630605649,0.0007026136488954,0.009842176785029,0.9999,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,160,1,0.4518068845568472,0.3948742710862934,0.0569326134705538,0.0494685026794644,0.0644007939755192,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,160,5,0.2790276042605641,0.2018623433884395,0.0771652608721246,0.0627962032391111,0.0907908822775731,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,160,10,0.1238852029473936,0.0537408112883162,0.0701443916590774,0.0479978298411853,0.0908334253548416,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,160,20,0.0040742477536743,7.191274505224916e-05,0.0040023350086221,0.000454844792753,0.0089788879351079,0.99966,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,170,1,0.4418328432282024,0.381844063838931,0.0599887793892713,0.0524517834728913,0.0675798308215429,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,170,5,0.2696984404395225,0.1869599231301614,0.0827385173093611,0.0670073123326909,0.0976949776331138,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,170,10,0.1176571094389979,0.0471750992157366,0.0704820102232613,0.0475593135812303,0.0921341876874779,1,50000
