case_rank,event_label,lead_min,threshold_mm,route,route_label,member_count,csi_mean,csi_sd,csi_min,csi_max,finite_pair_count,n_issue_times
1,17 July 2025,150,1,exprecast_patch_cnn,exPreCast + CNN,3,0.6088515217857305,0.0005350808379014,0.6082428539773986,0.6092478020188864,17666,144
1,17 July 2025,150,1,pysteps_patch_cnn,pySTEPS + CNN,3,0.5352600386278987,0.0034053712103501,0.5320672816060771,0.538844199830652,17666,144
1,17 July 2025,150,5,direct_r2p,Direct R2P,3,0.3882675598967511,0.023552465655366,0.3674757281553398,0.4138454861111111,17666,144
1,17 July 2025,150,5,exprecast_patch_cnn,exPreCast + CNN,3,0.3862791057238659,0.0049152185592246,0.3806620209059233,0.3897916666666666,17666,144
1,17 July 2025,150,5,pysteps_patch_cnn,pySTEPS + CNN,3,0.2559550806252034,0.0067934761052961,0.2481302243730752,0.260347129506008,17666,144
1,17 July 2025,150,10,direct_r2p,Direct R2P,3,0.2627837476240738,0.0423816118792709,0.2207537934410181,0.3055084745762711,17666,144
1,17 July 2025,150,10,exprecast_patch_cnn,exPreCast + CNN,3,0.2934605192390929,0.0028467253182299,0.2907834101382488,0.2964509394572025,17666,144
1,17 July 2025,150,10,pysteps_patch_cnn,pySTEPS + CNN,3,0.0806372769080894,0.0037461989068131,0.0773346303501945,0.084707980383415,17666,144
1,17 July 2025,150,20,direct_r2p,Direct R2P,3,0.0626256129020312,0.047006671786258,0.0168175937904269,0.1107456140350877,17666,144
1,17 July 2025,150,20,exprecast_patch_cnn,exPreCast + CNN,3,0.0334285036442219,0.0111325359654396,0.0231958762886597,0.0452830188679245,17666,144
1,17 July 2025,150,20,pysteps_patch_cnn,pySTEPS + CNN,3,0,0,0,0,17666,144
1,17 July 2025,180,1,direct_r2p,Direct R2P,3,0.547764812895099,0.0148102915041794,0.5313629790310919,0.560158535434557,17666,144
1,17 July 2025,180,1,exprecast_patch_cnn,exPreCast + CNN,3,0.5833269465861973,0.0005617344780138,0.5826797385620915,0.5836877924287537,17666,144
1,17 July 2025,180,1,pysteps_patch_cnn,pySTEPS + CNN,3,0.4867347003134072,0.0032075276803114,0.4845776566757493,0.4904206357700952,17666,144
1,17 July 2025,180,5,direct_r2p,Direct R2P,3,0.3306807001196521,0.0401446718233442,0.2896688086999505,0.3698979591836734,17666,144
1,17 July 2025,180,5,exprecast_patch_cnn,exPreCast + CNN,3,0.3549255286096191,0.0079694969092143,0.3459471081487852,0.3611622672396153,17666,144
