route,route_label,member,replicate_id,upstream_seed,downstream_seed,lead_min,rmse,mean_bias,correlation,mae,finite_pair_count
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,120,1.676270266409172,0.0863888386164258,0.5505766249044212,0.4230377404393103,4408597
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,130,1.710437260129306,0.0831391947657779,0.5222313817330654,0.4307093510878689,4408588
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,140,1.740705341170694,0.0802365009983577,0.4959519147929681,0.4377461964894559,4408580
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,150,1.768363441736502,0.0775317548709271,0.4708963639051014,0.4442244984805932,4408572
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,160,1.791609483277611,0.0750541922908903,0.4489591650338568,0.4500512304986426,4408564
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,170,1.813007305565886,0.072999595001426,0.4280798159305641,0.4556120642642754,4408556
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,180,1.831922670050496,0.0713081478704181,0.4090535921661243,0.460980271569387,4408548
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,60,1.372064952772141,0.0971256021045761,0.7599891817933636,0.3525343172815242,4408654
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,70,1.436529926969385,0.0917396694124616,0.7229981000540963,0.365248972218478,4408644
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,80,1.49620429344164,0.0864803567687347,0.6856865017414999,0.3768640387018621,4408635
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,90,1.549274528787234,0.0818295348359666,0.64978261983686,0.3874132430466362,4408626
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,100,1.596534913627817,0.0775353980737836,0.6156353176922889,0.3969651343207123,4408617
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,110,1.638612463710552,0.0735973132273835,0.5832575505684026,0.4056833970491934,4408607
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,120,1.675966352370626,0.0702196090535151,0.5528587644192671,0.4138246701019946,4408597
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,130,1.709736714394766,0.0670320992849658,0.5239696751292374,0.4212874306521249,4408588
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,140,1.739412341365651,0.0643435213336949,0.497364970911867,0.4282505464598791,4408580
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,150,1.765246992942727,0.0619861035977247,0.4732665291722245,0.4345502819533437,4408572
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,160,1.788682130197533,0.0598823431093349,0.4505614990550357,0.4405374556952149,4408564
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,170,1.809072033882333,0.0583085398174749,0.4301420977133175,0.4461387849181178,4408556
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,180,1.828000960568992,0.0569098473971369,0.4106029973110085,0.4516030267460287,4408548
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,60,1.33911786554944,0.217075312577211,0.7513487228449656,0.4167277669746957,4408654
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,70,1.391408011723707,0.2015301080085523,0.7261930565131057,0.4214385447316872,4408644
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,80,1.436170662994916,0.1824492758161961,0.7034584656588551,0.4234976304149105,4408635
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,90,1.480198295501659,0.163491008334438,0.6805687797403622,0.4256299368409356,4408626
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,100,1.521417589857532,0.1504170817876491,0.6573694514114108,0.4294935707535428,4408617
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,110,1.55769113367912,0.1439217793718641,0.6347979170429466,0.4349630290266174,4408607
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,120,1.589988998454088,0.1393793614483725,0.6134955727352236,0.440556242198714,4408597
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,130,1.618855383037961,0.1352022178523631,0.5936559408609493,0.4459506757119222,4408588
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,140,1.644599824486841,0.1321801069849722,0.5751109207314855,0.4512578350376203,4408580
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,150,1.667769804612102,0.1322055942949373,0.5575979567179036,0.4571327646950516,4408572
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,160,1.688507308617327,0.1324324955477196,0.5416140639758151,0.4628705267765483,4408564
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,170,1.706914724105338,0.130765318517687,0.5269369025494425,0.4675829095360631,4408556
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,180,1.723570263189575,0.1291419870073346,0.5132328419134026,0.4719332571792834,4408548
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,60,1.33330969712259,0.2441356253512104,0.7560795436086358,0.4351234605198021,4408654
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,70,1.389045710736032,0.2232991954786115,0.7288720812978464,0.438801118454455,4408644
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,80,1.434422879710506,0.2031238102687622,0.705339426184506,0.441041925674883,4408635
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,90,1.477474190637916,0.1854167453757857,0.6826278773373107,0.4442184100548402,4408626
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,100,1.519029576925994,0.1705960922216202,0.6594882226097984,0.4480318054739333,4408617
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,110,1.556713474697897,0.1608665903861305,0.6366083576004433,0.4529134030387527,4408607
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,120,1.589739459030008,0.1574102888956686,0.6148918384607429,0.4594113282953089,4408597
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,130,1.618882968860378,0.1522981448661009,0.5949266879757443,0.4646647864535978,4408588
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,140,1.644779730099443,0.1512190684346836,0.576082678976807,0.4707613891805364,4408580
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,150,1.668181957699531,0.1499589813238749,0.5584873979821341,0.4763387858483821,4408572
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,160,1.689398102696405,0.1489809346274751,0.5420232532533309,0.4817450223186805,4408564
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,170,1.709287910565772,0.1516256564368396,0.5265504085389903,0.4881770463453198,4408556
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,180,1.726278342626109,0.1489083307659011,0.5124388119753746,0.4923282767209967,4408548
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,60,1.329620371841701,0.2108725190027719,0.7577801136166045,0.4233110833308799,4408654
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,70,1.384140375237598,0.1979869340136827,0.7314810873401807,0.4289924039844195,4408644
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,80,1.432170341417311,0.1771219343426678,0.7095733640237144,0.4315397896664787,4408635
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,90,1.480290010463407,0.1595920187699845,0.6870443633706491,0.4356600158668089,4408626
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,100,1.524413227028554,0.147169039374348,0.6636488096888397,0.4407540076868017,4408617
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,110,1.560901374182219,0.1412666808314993,0.6400907044614041,0.4466535716254647,4408607
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,120,1.591910948610626,0.1397060407496775,0.6180724116679277,0.453332459439335,4408597
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,130,1.622145937698004,0.133694503011537,0.5977861735124077,0.4584339594379168,4408588
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,140,1.646738714574678,0.1332552033460294,0.5786736083388655,0.4645650355751367,4408580
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,150,1.668525112385921,0.134043963085729,0.5609436993798647,0.4707182950280958,4408572
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,160,1.688713224566675,0.132665842805094,0.5446493555508809,0.4759346098513078,4408564
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,170,1.70614339086898,0.1358120101787965,0.5291877350569021,0.4822331415735933,4408556
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,180,1.722792354442732,0.1330751398649336,0.5153530719834177,0.4865530910449934,4408548
direct_r2p,Direct R2P,0,0,,,60,1.189925400029869,0.1669561387684594,0.8145503211458603,0.3285405227573846,4408654
direct_r2p,Direct R2P,0,0,,,70,1.269189723079297,0.1579276121448885,0.7843312768651808,0.3377506978911399,4408644
direct_r2p,Direct R2P,0,0,,,80,1.342310225453658,0.1387570313412852,0.7524996277325936,0.3382215656370094,4408635
direct_r2p,Direct R2P,0,0,,,90,1.40614881231326,0.1232646184435923,0.7211851129650835,0.3420223962628591,4408626
direct_r2p,Direct R2P,0,0,,,100,1.462115736274752,0.1139603276384888,0.6916176182446496,0.3496516029138651,4408617
direct_r2p,Direct R2P,0,0,,,110,1.510278577188383,0.1106537746157816,0.6645608686544405,0.3604572091799232,4408607
direct_r2p,Direct R2P,0,0,,,120,1.554338423401938,0.115252578696389,0.6386357311400184,0.377338665988641,4408597
direct_r2p,Direct R2P,0,0,,,130,1.594451729910922,0.1154340057815635,0.6139853995436944,0.3882011783955263,4408588
direct_r2p,Direct R2P,0,0,,,140,1.630484951663785,0.1228313775995108,0.590941004754444,0.4045965253335218,4408580
direct_r2p,Direct R2P,0,0,,,150,1.66226927783644,0.1303950889995232,0.5701830534173825,0.419611685109066,4408572
direct_r2p,Direct R2P,0,0,,,160,1.689218815652001,0.1363287434120802,0.5515342779142184,0.4329621757152187,4408564
