route,route_label,member,replicate_id,upstream_seed,downstream_seed,lead_min,csi_m,rmse,mean_bias,correlation,mae,finite_pair_count,csi_1mm,csi_5mm,csi_10mm,csi_20mm
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,180,0.2039579635396767,1.726278342626109,0.1489083307659011,0.5124388119753746,0.4923282767209967,4408548,0.4338505542932723,0.2613892689420552,0.1163121250813076,0.0042799058420714
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,60,0.3851116439883597,1.329620371841701,0.2108725190027719,0.7577801136166045,0.4233110833308799,4408654,0.595804125239262,0.4797393182865871,0.3665785250977467,0.0983246073298429
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,90,0.3039726146433394,1.480290010463407,0.1595920187699845,0.6870443633706491,0.4356600158668089,4408626,0.5481749792811271,0.3996995541771661,0.2388554893107491,0.0291604358043153
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,120,0.2518657912216448,1.591910948610626,0.1397060407496775,0.6180724116679277,0.453332459439335,4408597,0.5025578347865531,0.3326047789231178,0.1620034365142461,0.0102971146626622
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,150,0.2166951449717686,1.668525112385921,0.134043963085729,0.5609436993798647,0.4707182950280958,4408572,0.4641459074733096,0.2835845715906756,0.1159311505111945,0.003118950311895
exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,180,0.193286885201752,1.722792354442732,0.1330751398649336,0.5153530719834177,0.4865530910449934,4408548,0.4329838591408502,0.2483929005592025,0.0901564892429865,0.001614291863969
direct_r2p,Direct R2P,0,0,,,60,0.4902651532152403,1.189925400029869,0.1669561387684594,0.8145503211458603,0.3285405227573846,4408654,0.6284130374525118,0.5418966142799855,0.4548140535679876,0.3359369075604762
direct_r2p,Direct R2P,0,0,,,90,0.3888982765280505,1.40614881231326,0.1232646184435923,0.7211851129650835,0.3420223962628591,4408626,0.5605393674479054,0.4490808260025453,0.3419892313562556,0.2039836813054955
direct_r2p,Direct R2P,0,0,,,120,0.3093753071417135,1.554338423401938,0.115252578696389,0.6386357311400184,0.377338665988641,4408597,0.5047271373761667,0.3731833394978754,0.2562598061340727,0.1033309455587392
direct_r2p,Direct R2P,0,0,,,150,0.2529208014849873,1.66226927783644,0.1303950889995232,0.5701830534173825,0.419611685109066,4408572,0.457192548032949,0.3203873313290918,0.1917757897921258,0.0423275367857825
direct_r2p,Direct R2P,0,0,,,180,0.2148195712108226,1.732327493439537,0.1491106104076155,0.5194597175977076,0.4593893908878411,4408548,0.4196215531830018,0.2768024675491582,0.1422542641111306,0.0206
direct_r2p,Direct R2P,1,1,,,60,0.4617386622777482,1.193267575745042,0.002134597060284,0.8031450790933498,0.1991829509296454,4408654,0.6162281655189943,0.5155129210581687,0.4206129378127233,0.2946006247211066
direct_r2p,Direct R2P,1,1,,,90,0.3607747405152461,1.416091645327762,0.0088721514407556,0.7084262568295585,0.2478700251797318,4408626,0.5440192741177436,0.4301962794126903,0.3196171219617122,0.1492662865688382
direct_r2p,Direct R2P,1,1,,,120,0.2893140758509667,1.559113278828943,0.0040351217379328,0.6313096111707505,0.2792752007167972,4408597,0.4934147765707116,0.3708906727828746,0.2411875427789185,0.0517633112713622
direct_r2p,Direct R2P,1,1,,,150,0.2429398239871401,1.660110924137422,-0.0027530286284963,0.5666933299135908,0.3026034007233426,4408572,0.4546735530542164,0.3201629641017757,0.1766732390093818,0.0202495397831867
direct_r2p,Direct R2P,1,1,,,180,0.207532988996597,1.733217786188879,-0.002949214264625,0.5135239614434045,0.3255098988582542,4408548,0.4184485278213021,0.274917622470736,0.1282992017432681,0.0084666039510818
direct_r2p,Direct R2P,2,2,,,60,0.4873390743125638,1.164978207881377,0.0259351448885103,0.8170798998112379,0.2002612579957537,4408654,0.6296368956573785,0.5394799421510866,0.4480968858131487,0.3321425736286417
direct_r2p,Direct R2P,2,2,,,90,0.3772915741429831,1.394524354348829,0.0093631657952202,0.7199829511654249,0.2448350820038345,4408626,0.5575626819975931,0.4410981317301473,0.3270664291839831,0.1834390536602091
direct_r2p,Direct R2P,2,2,,,120,0.2952096704819163,1.557815598610983,-0.0004181999037203,0.6304990899452274,0.2828491403510468,4408597,0.4986633099915005,0.3645712141114656,0.2290000898391878,0.0886040679855112
direct_r2p,Direct R2P,2,2,,,150,0.2362486150484709,1.66557030495187,-0.0111931418950293,0.5584588483375909,0.3073213713926259,4408572,0.4539481797898938,0.3017033891217277,0.1563564392893307,0.0329864519929314
direct_r2p,Direct R2P,2,2,,,180,0.1971670027829882,1.732044575800542,0.0117320907619094,0.5060066366714269,0.351564665162078,4408548,0.4172847510712446,0.2519794762001439,0.1094956406053263,0.0099081432552378
