Distance group,Distance to nearest fitting station (km),Stations,Lead (min),RN60 threshold (mm),All-station R2P CSI,Direct R2P CSI,ΔCSI (All-station − Direct),95% CI low,95% CI high,Common finite pairs
2,5.981–9.422,32,90,10,0.333897959010657,0.328823763732113,0.005074195278544,-0.0026844460710558,0.0126010330609006,1105368
2,5.981–9.422,32,90,20,0.1961591004266191,0.1767842789954763,0.0193748214311427,-0.0008688223170999,0.0381963249448782,1105368
2,5.981–9.422,32,120,1,0.4930864451260087,0.4945510711556072,-0.0014646260295985,-0.0063539711539606,0.0039479119135938,1105362
2,5.981–9.422,32,120,5,0.3728140714899184,0.3706535958287449,0.0021604756611735,-0.0053261548767028,0.0100466138626286,1105362
2,5.981–9.422,32,120,10,0.2513757917874881,0.2347118436367384,0.0166639481507497,0.007791009032666,0.0249395021363037,1105362
2,5.981–9.422,32,120,20,0.0991955887617582,0.0759409459095383,0.0232546428522198,0.0070663755701912,0.0363549163557848,1105362
2,5.981–9.422,32,150,1,0.453845145398916,0.4503517890975483,0.0034933563013677,-0.0014426716373193,0.0090309488368651,1105356
2,5.981–9.422,32,150,5,0.3192124300965159,0.3120068604606918,0.007205569635824,-0.000525936229203,0.0153897972917909,1105356
2,5.981–9.422,32,150,10,0.1880741156862191,0.1683415788304377,0.0197325368557813,0.0100292027233594,0.0290299843752346,1105356
2,5.981–9.422,32,150,20,0.0504311413671846,0.0279447863296203,0.0224863550375642,0.0109940510659459,0.0328880584487919,1105356
2,5.981–9.422,32,180,1,0.4193764273633651,0.4133304142433862,0.0060460131199789,0.001289874088821,0.0111793918105821,1105350
2,5.981–9.422,32,180,5,0.2753438145315963,0.2667539116079276,0.0085899029236686,0.0006838537961151,0.0171185297643942,1105350
2,5.981–9.422,32,180,10,0.1404603513808087,0.1221045654698953,0.0183557859109134,0.0094994332428392,0.0269819710757388,1105350
2,5.981–9.422,32,180,20,0.0259757893401969,0.0111526979562386,0.0148230913839582,0.0059091734672067,0.0242418837240667,1105350
3,9.461–12.723,32,60,1,0.6317493997970491,0.6310029837699597,0.0007464160270894,-0.0024996659054365,0.0039148529824683,1104721
3,9.461–12.723,32,60,5,0.5418614341598803,0.5369757737578168,0.0048856604020635,-5.098002817248423e-05,0.0095874768640352,1104721
3,9.461–12.723,32,60,10,0.4496059717678405,0.4409206525006168,0.0086853192672236,-0.0002328630574285,0.0174889971452098,1104721
3,9.461–12.723,32,60,20,0.3330191343387351,0.3246571780003865,0.0083619563383486,-0.0059921447070398,0.0202731247200171,1104721
