route,route_label,lead_min,threshold_mm,member_count,csi_mean,csi_sd,pod_mean,pod_sd,far_mean,far_sd,frequency_bias_mean,frequency_bias_sd
pysteps_patch_cnn,pySTEPS + CNN,80,20,3,0.0065688273732336,0.0047226662143826,0.0065853395228327,0.004741485751052,0.1561728395061728,0.092746785193313,0.0082766562308827,0.0064848757749253
pysteps_patch_cnn,pySTEPS + CNN,90,1,3,0.5168827342788659,0.0054046934897243,0.7272317364709086,0.0257150171621363,0.3575895018041502,0.0277536976567457,1.13462874579232,0.0900255671494882
pysteps_patch_cnn,pySTEPS + CNN,90,5,3,0.3638415873793413,0.0036456225713896,0.4696442751527659,0.0124147753184748,0.3819618008651732,0.0110856178403645,0.7602965718435098,0.0336397400857003
pysteps_patch_cnn,pySTEPS + CNN,90,10,3,0.1668811439955121,0.0118857193249961,0.1865639330066324,0.0160680413484379,0.384914887076503,0.0142989970481808,0.3037531243234733,0.0324616114398904
pysteps_patch_cnn,pySTEPS + CNN,90,20,3,0.0036242465866406,0.0027605954661698,0.0036345316492137,0.0027741500409814,0.2569285642375343,0.1486154965400915,0.0054697902047572,0.004750489875392
pysteps_patch_cnn,pySTEPS + CNN,100,1,3,0.4946273745278633,0.0041801916964392,0.7027811098916992,0.0246131635173699,0.3734036548345352,0.0257887175054842,1.123953219956385,0.0863165348942815
pysteps_patch_cnn,pySTEPS + CNN,100,5,3,0.3327731812186033,0.0026056195658397,0.4322628040986704,0.0088084163489393,0.4085976066980214,0.0083847551557214,0.731148961106794,0.0251480225453644
pysteps_patch_cnn,pySTEPS + CNN,100,10,3,0.1407548776351266,0.0127427099448187,0.157721753163685,0.0166703477926626,0.4304662300623561,0.0143560763518241,0.2772923185924307,0.0336871438605323
pysteps_patch_cnn,pySTEPS + CNN,100,20,3,0.0023309327347727,0.0020413088899661,0.0023390550217712,0.0020521180941211,0.3789640591966174,0.1372712229611025,0.0044262118104285,0.0044889610031937
pysteps_patch_cnn,pySTEPS + CNN,110,1,3,0.4743239602170148,0.0027851187519224,0.6796675826435149,0.023812950249324,0.3880692560042635,0.023633811985737,1.112815451933902,0.0824855219403905
pysteps_patch_cnn,pySTEPS + CNN,110,5,3,0.3061079076216505,0.0017198096162249,0.3991617514045122,0.006294742561654,0.432138498443795,0.0079475657569,0.703109672981133,0.0205078176459963
pysteps_patch_cnn,pySTEPS + CNN,110,10,3,0.1196676158214678,0.0123745282489334,0.1341737025447245,0.0160986747269216,0.4713983606977139,0.0099010673512535,0.2541575643069414,0.0343372456676936
pysteps_patch_cnn,pySTEPS + CNN,110,20,3,0.001397897231889,0.0016541549908797,0.0014034330130627,0.0016619674315384,0.753968253968254,0.2183261064044273,0.0036705171110871,0.0038198868645048
pysteps_patch_cnn,pySTEPS + CNN,120,1,3,0.4559409231063656,0.0021178175607867,0.6584880993905776,0.0228000057758718,0.401884325526923,0.0221967791468667,1.102902767497852,0.0795131543493477
pysteps_patch_cnn,pySTEPS + CNN,120,5,3,0.280038702814282,0.0014934416050452,0.3671138175131958,0.004884375621293,0.4584669644519237,0.0053509233831194,0.6780174189247147,0.0155524042462098
pysteps_patch_cnn,pySTEPS + CNN,120,10,3,0.1009607745542375,0.0126212247666782,0.1131054299265907,0.0162163757149796,0.5112151218897442,0.0077940596608085,0.231721477632796,0.036465277523987
pysteps_patch_cnn,pySTEPS + CNN,120,20,3,0.0009689932600985,0.0009558786089037,0.0009716074705818,0.0009595373439831,0.6569590643274853,0.0331877399022505,0.0026989096405052,0.0024403874674419
pysteps_patch_cnn,pySTEPS + CNN,130,1,3,0.4391632416075617,0.0017666481580253,0.6383238474430634,0.0214639521351069,0.4144640070964285,0.0209741434003342,1.091969180073108,0.0761411527247569
pysteps_patch_cnn,pySTEPS + CNN,130,5,3,0.2569702469288055,0.0026333929786196,0.3382464722643328,0.0059031735273141,0.4831101996110685,0.0046798444861424,0.6544751179450595,0.016344873210253
pysteps_patch_cnn,pySTEPS + CNN,130,10,3,0.0860998673266819,0.0126604323310663,0.0964062899765798,0.0161048539359806,0.548808682269542,0.0064887543293682,0.2139497352935388,0.0382656766573484
pysteps_patch_cnn,pySTEPS + CNN,130,20,3,0.0007534761256291,0.0008803544416963,0.0007556946993414,0.0008836611002777,0.7721088435374149,0.1979521704347137,0.0023030695598978,0.0026801318768383
pysteps_patch_cnn,pySTEPS + CNN,140,1,3,0.4229424391532029,0.0013000506175964,0.6189181831329812,0.0203830252396051,0.4273198697016191,0.0194285796741108,1.082375527821024,0.0724863132279347
pysteps_patch_cnn,pySTEPS + CNN,140,5,3,0.2372377867642584,0.0029832060518221,0.3131839433354141,0.0068063852763153,0.5053176203190086,0.0045763307596281,0.6332131588892994,0.0192543712353658
pysteps_patch_cnn,pySTEPS + CNN,140,10,3,0.0726757221335887,0.0127036173354856,0.0813603353604534,0.0160787949638734,0.5882594451278167,0.0047044709417754,0.1979099013993033,0.0414029179299117
pysteps_patch_cnn,pySTEPS + CNN,140,20,3,0.0005747442362986,0.0004077221004395,0.0005757673899744,0.0004087162795206,0.4326797385620914,0.3921633986383451,0.0017992730936701,0.0017880828023757
pysteps_patch_cnn,pySTEPS + CNN,150,1,3,0.4085369781585801,0.0011641037917851,0.600890737857635,0.0193073545028205,0.4385713246168217,0.0183289951278473,1.07179500267987,0.0694312409236648
pysteps_patch_cnn,pySTEPS + CNN,150,5,3,0.2191148352558688,0.0041534930526602,0.2901427230764657,0.0088029610033763,0.5274225071774472,0.0050912276688332,0.6141168876942218,0.0244940391726012
pysteps_patch_cnn,pySTEPS + CNN,150,10,3,0.0621926821302684,0.011213252907015,0.0695026667453897,0.0141596186673764,0.6207198389671982,0.0097311000426998,0.183808624116825,0.0413436570364944
pysteps_patch_cnn,pySTEPS + CNN,150,20,3,0.0002875385580479,0.0001647171720898,0.0002878836949872,0.0001649061029528,0.7138888888888889,0.1434527925963928,0.0013314620893159,0.0011543427206697
pysteps_patch_cnn,pySTEPS + CNN,160,1,3,0.3948742710862934,0.0009798759724855,0.5841805410218671,0.0178188745044891,0.4500845817026943,0.0168967184249558,1.063636286295228,0.0649727575179922
pysteps_patch_cnn,pySTEPS + CNN,160,5,3,0.2018623433884395,0.0052089149410426,0.2676535408996522,0.0105946668741791,0.548692855847074,0.0052755041199521,0.5932668339766701,0.0295101047242805
pysteps_patch_cnn,pySTEPS + CNN,160,10,3,0.0537408112883162,0.0107023940372359,0.0599378087422015,0.013369677603563,0.6495282018046052,0.0066548860948158,0.1715376591682903,0.0413731576646104
pysteps_patch_cnn,pySTEPS + CNN,160,20,3,7.191274505224916e-05,6.227832521370067e-05,7.197092374680629e-05,6.232864829856696e-05,0.6458333333333334,0.5601804024895314,0.0006837237755946,0.0009053759131605
pysteps_patch_cnn,pySTEPS + CNN,170,1,3,0.381844063838931,0.0009529195369712,0.568302663706048,0.0167648970419651,0.4615398912086861,0.0159929980586982,1.056651608347583,0.0623309568839662
pysteps_patch_cnn,pySTEPS + CNN,170,5,3,0.1869599231301614,0.006344854859757,0.2484468620881477,0.0125946297214141,0.5690936204656044,0.0049385526506814,0.5768203455758395,0.0353309667825298
pysteps_patch_cnn,pySTEPS + CNN,170,10,3,0.0471750992157366,0.0099375986269554,0.0525575170730747,0.0123710361895457,0.6752882816549522,0.0078037205152497,0.1625238629430635,0.0417712338203016
pysteps_patch_cnn,pySTEPS + CNN,170,20,3,0,0,0,0,1,0,0.0005037964662276,0.0007809757247187
