case_rank,event_label,lead_min,threshold_mm,route,route_label,member,replicate_id,upstream_seed,downstream_seed,hit,miss,false_alarm,correct_negative,finite_pair_count,n_issue_times,csi
1,17 July 2025,120,20,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,41,716,44,16865,17666,144,0.0511860174781523
1,17 July 2025,120,1,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,5605,1530,1686,8845,17666,144,0.6354154857725881
1,17 July 2025,120,5,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,1829,1364,1274,13199,17666,144,0.4094470561898365
1,17 July 2025,120,10,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,720,984,431,15531,17666,144,0.3372365339578454
1,17 July 2025,120,20,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,26,731,26,16883,17666,144,0.0332056194125159
1,17 July 2025,120,1,direct_r2p,Direct R2P,0,0,,,6292,843,2928,7603,17666,144,0.6252608566033986
1,17 July 2025,120,5,direct_r2p,Direct R2P,0,0,,,2070,1123,1319,13154,17666,144,0.4587765957446808
1,17 July 2025,120,10,direct_r2p,Direct R2P,0,0,,,863,841,637,15325,17666,144,0.3686458778299872
1,17 July 2025,120,20,direct_r2p,Direct R2P,0,0,,,178,579,197,16712,17666,144,0.1865828092243186
1,17 July 2025,120,1,direct_r2p,Direct R2P,1,1,,,5960,1175,2663,7868,17666,144,0.6082874055929781
1,17 July 2025,120,5,direct_r2p,Direct R2P,1,1,,,1966,1227,1321,13152,17666,144,0.435533894550288
1,17 July 2025,120,10,direct_r2p,Direct R2P,1,1,,,787,917,474,15488,17666,144,0.3613406795224977
1,17 July 2025,120,20,direct_r2p,Direct R2P,1,1,,,68,689,60,16849,17666,144,0.0832313341493268
1,17 July 2025,120,1,direct_r2p,Direct R2P,2,2,,,6185,950,2750,7781,17666,144,0.6256954982296409
1,17 July 2025,120,5,direct_r2p,Direct R2P,2,2,,,1861,1332,993,13480,17666,144,0.4445771619684663
1,17 July 2025,120,10,direct_r2p,Direct R2P,2,2,,,720,984,460,15502,17666,144,0.33271719038817
