route,route_label,replicate,aggregation,bootstrap_reps,bootstrap_unit,ci_definition,lead_min,metric,x_index,x_label,bin_low_mm,bin_high_mm,threshold_mm,estimate,ci_low,ci_high,n_common_pairs,n_observed_events
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,conditional_mean_error,0,1–5,1,5,,0.2291190216006648,0.1043022051828407,0.3453169566569469,156589,
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,conditional_mean_error,1,5–10,5,10,,-0.9359078270971064,-1.246976011277514,-0.6626015196418239,44623,
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,conditional_mean_error,2,10–20,10,20,,-4.488978196459974,-4.978421373762416,-4.077087372863355,24611,
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,conditional_mean_error,3,≥20,20,,,-16.47333154705285,-17.35501093530306,-15.56016584714736,9263,
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,conditional_mean_error,0,1–5,1,5,,-0.1784832939441597,-0.3304140361424804,-0.0402007285539428,156589,
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,conditional_mean_error,1,5–10,5,10,,-2.931474781090518,-3.281313794354316,-2.634805712501583,44623,
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,conditional_mean_error,2,10–20,10,20,,-8.409106679703024,-8.944710977311477,-7.979058842010248,24611,
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,conditional_mean_error,3,≥20,20,,,-24.18748831792289,-25.03499849217271,-23.26081556131084,9263,
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,conditional_mean_error,0,1–5,1,5,,-0.5909079969382637,-0.7458459179350132,-0.4493951875861941,156589,
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,conditional_mean_error,1,5–10,5,10,,-4.189817116001199,-4.500461215065267,-3.92685932218104,44623,
